Giuda Tallarico
Olindo Lo Presti
Ermanno Cattaneo
Gioacchino Perugini
Alboino Ligorio
Mosè Valentini
Palladio Barbarossa
Arcadio Grillo
Ermes Scopece
Basileo Di Caccamo
Saverio Rosselli
Almiro Celentano
Gaudenzio Zamboni
Valfrido La Rosa
Dionisio Di Martino
Endrigo Galasso
Emiliano Delogu
Zaccheo Venturelli
Amico Basile
Beronico Guarino
Richelmo Piscitelli
Donatello Pasini
Diego Santucci
Gianpaolo Miccoli
Euseo Gatto
Antimo Delogu
Cantidio Repetto
Fermo Centofanti
Giosuele Panico
Aquilino Matteucci
Attilio Coppola
Donatello Carminati
Umile Barresi
Rainaldo Guido
Esaù Pintus
Accursio Fiorucci
Primo Graziani
Elvino Zuliani
Antimo Sorce
Rutilo Bellini
Girolamo Pignatelli
Gordiano Melandri
Reginaldo Palombo
Dionigi Scala
Frido Di Stefano
Illuminato Virgilio
Gautiero Serena
Cremenzio Amadori
Aristione Cucchiara
Egidio Chiodi
Giordano Coppola
Neri Bodini
Bassiano Santoro
Meneo Cavalieri
Venustiano Denaro
Amatore De Biase
Orfeo Lepore
Crespignano Sciacca
Indro Golinelli
Orso Vacca
Gedeone Librizzi
Metello Pinardi
Manuele Pace
Giulio Zappia
Giandomenico Genovese
Giacinto Cataldo
Pompeo Antonelli
Tesauro Mattioli
Alceste Boschi
Ansovino La Rocca
Guerrino Perego
Lautone D'Urso
Costantino Manna
Erminio Coretti
Gildo Garavaglia
Ariele De Angelis
Giulio De Marco
Baldovino Bellotti
Evremondo Travaglini
Napoleone Ragone
Tussio Renzi
Emilio Cascio
Davino Anselmo
Emidio Cuomo
Maurizio Senatore
Fulgenzio Polizzi
Efrem Ventimiglia
Pacifico Cascone
Gastone Vichi
Gaio Scalzo
Eufemio Piga
Pupolo Ballarin
Amato Palombi
Anselmo Florio
Leandro Renna
Agabio Pagliuca
Argo Pezzella
Macario Perego
Liberto Biagetti
Lapo Vaccari
Apollinare Di Somma
Isidoro Brunelli
Ulberto Carminati
Galdino Santarossa
Igor Ratti
Manetto Ottaviani
Giancarlo Golinelli
Casimiro Riparbelli
Angelo Crimi
Giona Corrado
Auberto Mastrogiacomo
Sinesio Atzeni
Fermiano Castiglioni
Beato Amabile
Sabele Lupica
Adalardo Spiga
Secondo Campagna
Demostene Marras
Ivo Gennaro
Ermanno Redaelli
Alfio Alcamo
Golia Carbon
Livio Perego
Gionata Perri
Tobia Bosco
Costantino Ortolani
Adelchi Palmeri
Orazio Lucchesi
Quirino Di Tommaso
Pietro Sasso
Agabio Perna
Mamante Desogus
Lorenzo Costanzo
Rubiano Fonda
Gualberto Mazzaro
Eberardo La Rosa
Giandomenico Dante
Telemaco Di Maria
Eusebio Genna
Diomede Maiello
Cino Passarelli
Marcello Angeli
Esuperio Pecora
Emanuele Tufo
Lieto Laezza
Abele Tuccillo
Napoleone Criscione
Enzo Moretto
Vespasiano Torri
Casimiro Merli
Bacco Mazzotti
Ursicio Pintus
Tesauro Pisano
Crescente Flacco
Giotto Amendola
Galdino Repetto
Giambattista Chilà
Geronzio Lanteri
Massimiliano Pitzalis
Argo Giovannelli
Virgilio Pellegrini
Bonavita Messina
Caio Acquistapace
Furseo D'Agostino
Prospero Pala
Eliano Bernasconi
Venerio Signorile
Doroteo Parrino
Giosuele Gigli
Edoardo Di Pede
Liberio Noto
Minervino Spadoni
Gildo Grassi
Ursicio Francesca
Ciro Bonomo
Cristaldo Grieco
Socrate Marian
Attilano Tralli
Vittoriano Barsotti
Giadero Cruciani
Calanico Ortenzi
Adelchi Vaccari
Emmerico Flacco
Renzo Tirri
Piero Agostinelli
Leone Pellegrini
Gaudino Pavani
Eusebio Vailati
Ottavio Meo
Sireno Di Nardo
Delfino Torchio
Fausto Saba
Amedeo Garofalo
Ercolano Niccolai
Metello Nota
Abaco La Porta
Barsaba Boscolo
Valeriano Borelli
Emanuele Ferilli
Pammachio Da Rold
Nazzaro Diana
Icilio Ragusa
Agabio Iacovino
Bartolo Margiotta
Metello Fuoco
Alessio Lo Giudice
Lucio Mangano
Radolfo Beso
Antimo Carvelli
Viscardo Florio
Elvezio Brogi
Camillo Zappalà
Elifio Pedrotti
Gerolamo Palmisano
Aristeo Santoro
Gesualdo Zagaria
Augusto Contu
Leonida Lari
Ippocrate Secci
Elifio Ramella
Eustosio Renna
Carlo Cozzolino
Adolfo La Sala
Ferdinando De Maio
Ulpiano Bonanni
Manfredo Rotundo
Balderico Curcio
Eusebio Aloi
Piermarco Pezzi
Ugolino Ferroni
Clodoveo Paolicelli
Venustiano Serra
Lidio Rambaldi
Michelangelo Navarra
Nazzaro Pintus
Vittoriano Ruberto
Valfredo Lazzaro
Gioberto Tofani
Glauco Pecoraro
Baldo Cortesi
Liberio Bocchi
Soccorso Galasso
Semplicio Di Luca
Rosario Fiorenza
Egisto Sacchi
Lorenzo Mastronardi
Giocondo De Salvo
Valentino Giuffrida
Basileo Correale
Soccorso Amabile
Ulderico Scorza
Cassiano Perotti
Nestore Ciccarelli
Aimone Silenzi
Viviano Romeo
Daciano Novelli
Emilio Serra
Eliodoro Padovan
Lucio Falcone
Eterie Costantini
Gavino Di Blasi
Gabino Anzalone
Albano Cortese
Fuscolo Nesti
Girolamo De Rosa
Cirillo Natali
Amleto Capasso
Monaldo Caputo
Concordio Saladino
Richelmo Musumeci
Carmelo Granà
Cleandro Ferraro
Deodato Garau
Orio Siracusa
Erberto Torre
Tizio Tralli
Placido Forte
Concordio Franco
Arminio Nocera
Ariele Brandi
Ataleo Rogolino
Leandro Mazzotti
Ansaldo Serafini
Arrigo Iacovino
Ismaele Ottaviani
Igor La Porta
Medardo Cozzi
Liborio Corrado
Vasco Rossi
Aris Galante
Rubiano Cifarelli
Andrea Barbarulo
Berengario D'Amore
Alessandro Maiello
Egidio Barreca
Moreno Catalano
Corrado Vacca
Spartaco Borrelli
Ildebrando Pepe
Torquato Travaglini
Gaio Coppola
Caino Castiello
Sostrato Siri
Gionata Vacca
Verecondo Evola
Ignazio Cerutti
Abelardo Franchi
Robaldo Politi
Raniero Carnevale
Aimone Dolce
Aurelio Cipolla
Corbiniano De Stefano
Protasio Cipollaro
Bortolo Evangelista
Niceforo Dante
Socrate Perugini
Ido Fortunato
Raimondo Guido
Zenebio Perna
Gioventino Magi
Lapo Fiorini
Cecilio Lupica
Clodoveo Aprile
Verenzio Repetto
Attila Del Monte
Nicezio Asaro
Venanzio Molinari
Pompeo Morelli
Ermilo Montemurro
Almerigo Saia
Aniceto Sala
Balderico Paoletti
Asterio Michelucci
Giotto Crippa
Urdino Damiani
Ottone Leonetti
Saladino Miotto
Damocle Annunziata
Palatino Ferrini
Flaviano Fava
Gioele Leoni
Vladimiro Evangelista
Gandolfo Rossetti
Mirko Masi
Giocondo Montagner
Timoteo Di Nardo
Venustiano Nappi
Silvestro Bonanni
Ursmaro Cenni
Ildebrando Zeni
Carmine Marchini
Ponziano Baldassarre
Radolfo Pompilio
Tullio Castiello
Arminio Salvucci
Lanfranco Pasqua
Amando Schettino
Giacobbe Savoca
Amauri Cingolani
Almerigo Cusimano
Colmanno Mattei
Canziano Lo Cascio
Respicio Giovinazzo
Sviturno Quaranta
Panfilo Oliva
Magno Gullì
Terzo Daidone
Liberio Ferrigno
Laurentino Altieri
Taide Pavani
Guiberto Tiberti
Eliodoro Scorza
Graziano Di Pasquale
Serafino Grilli
Quinziano Barillà
Agrippa Ledda
Lazzaro Cavalli
Brando Potenza
Gineto Miglio
Quasimodo Sabia
Sinesio Paradiso
Stefano Carnovale
Bartolo De Marco
Matteo Morrone
Euclide Dolci
Tancredi Mottola
Abele Acquadro
Delfino Gianni
Tommaso Di Maggio
Saffiro Milani
Salvatore Palmieri
Eriberto Cozzolino
Vinfrido Barreca
Serviliano Croce
Caino De Filippis
Giovanni Ranieri
Deodato Chiaravalle
Malco Campagna
Evasio Bennardo
Alviero Conforti
Amato Fois
Menelao Fioravanti
Eriberto Ortenzi
Ulrico Salemi
Neoterio Schifano
Ursmaro Spanu
Aidano Patanè
Lucio Borghi
Gaspare Cuomo
Giovanni Leo
Rolfo Moretto
Bino Petralia
Tullio Sacchetti
Mercurio Giovannelli
Paciano Sarnataro
Adalgiso Betti
Turibio Cuzzocrea
Tesifonte De Martino
Senesio Ingrosso
Uranio Pitzalis
Augusto Ciotola
Almiro Grillo
Giustiniano Tiozzo
Tullio Maniscalco
Elio Galati
Adelgardo Nappi
Ramiro Valentini
Michelangelo Negri
Norberto Perilli
Umile Moras
Mansueto Zambon
Dionisio Sabato
Benito Spagnolo
Silverio Renda
Quasimodo Gargiulo
Eustosio Corsi
Viliberto Grandi
Leopardo Mazzone
Sebastiano Doronzo
Amaranto Pitzalis
Sergio Ruggiero
Varo Bennardo
Attilio Tedeschi
Guglielmo Filipponi
Tosco Evola
Acilio Cannella
Magno Simonetti
Ascanio Borgia
Beronico Casella
Acario D'Andrea
Geronzio Santini
Pancario Avola
Romoaldo Bruzzone
Ubaldo Paolella
Aristeo Poggio
Ermes Grimaldi
Catullo Corona
Dionigi Pala
Virone Bergamini
Odidone Ortenzi
Davide Scherini
Cleonico Piva
Concordio Pesaresi
Didimo Reina
Giacobbe Ferrarotti
Ermilo Postiglione
Danilo Fiorentino
Aristofane Mauri
Edgardo Pellecchia
Gerasimo Falcone
Ausilio Zampieri
Aleandro Filippi
Sebastiano De Vito
Afro Ragusa
Narsete Paradiso
Nicea Fava
Regolo Perini
Sapiente Marcon
Apollo Castagna
Ulpiano Carloni
Manetto Briano
Nazario Baldo
Sireno Magno
Innocente Zanetta
Ulstano Simeti
Ernesto Gaspari
Piermarco Siragusa
Vilfredo Degano
Fabrizio Signorile
Neopolo Bortoluzzi
Adolfo Palladino
Massimiliano Veronese
Tosco Barillà
Tizio Marchi
Adelgardo Baldini
Elmo Candido
Tiberio Memoli
Leopardo Iacono
Eufemio Nicolò
Pammachio Todaro
Vinebaldo Lisi
Ivo Del Bianco
Pancario Cataldi
Ranolfo Vitiello
Mirocleto Di Pede
Bastiano Pezzi
Gianpietro Pellecchia
Colmazio Genna
Pellegrino Zappacosta
Galileo Liotta
Algiso Croce
Fabiano Luciani
Efrem Malatesta
Agostino Cerri
Attilano Stanzione
Severiano Iezzi
Giona Rea
Barbarigo Biancheri
Euclide Grange
Pierluigi Cherchi
Raffaele Adragna
Oderico Di Santo
Sabazio Petrelli
Secondiano Scarpellini
Marzio Nobile
Ubaldo Granata
Gianmario Montagner
Romano Bernasconi
Mirocleto Di Giacomo
Caino Doria
Adriano Cappiello
Ambrosiano Zagaria
Piergiorgio Dominici
Aquilino Fedele
Edoardo Patruno
Gonerio Criscione
Rosario Babini
Tiziano D'Ambrosio
Mansueto Fiore
Ermilo Turco
Elvezio Viscò
Enzo Marchesan
Odorico Femina
Uriele Bernabei
Eusebio Bertaccini
Erico Pavani
Napoleone Pieri
Iorio Rosso
Tammaro Ortolani
Cosimo Santangelo
Giandomenico Talarico
Vinebaldo Accardo
Rodolfo La Rosa
Olindo Boi
Zenebio Caccamo
Ramiro Rizzi
Bardomiano Grassi
Bino Militello
Narseo Garau
Tobia Fabbri
Manetto Malavasi
Ruperto Oggiano
Bruto Perilli
Graziano Ciampa
Pietro Aiello
Calcedonio Frezza
Crescenzio Milazzo
Aristeo Carnevale
Vittoriano Biagi
Iacopone Lucarini
Romeo Cipolla
Alboino Cascio
Agazio Pisu
Polidoro Righetti
Divo Tosi
Basilio Guerrini
Valente Moras
Prudenzio Micco
Valerio Betti
Bertolfo Notaro
Vulmaro Errante
Stiliano Fiorentino
Sarbello Sini
Dagoberto Patrone
Riccardo Carboni
Duccio Spadaro
Paciano Di Costanzo
Beniamino Florio
Gondulfo Farris
Ricario Braia
Filomeno Balistreri
Aniello Scopece
Reginaldo Gambino
Valfrido Lombardi
Innocenzo Mascolo
Rosario Macaluso
Venustiano Quaranta
Danio Molteni
Gianni Giannetti
Fermo Cannella
Ricario Papapietro
Zaccaria Schiavi
Viviano Fasano
Graziano Gazzola
Beato Tosi
Ivano Tassone
Federico Ledda
Acilio Sevi
Giocondo Pagani
Garimberto Montalto
Eustorgio Borghi
Alighiero Careddu
Aristide Fancello
Azelio Pagliai
Iacopo Poletti
Ventura Cattaneo
Gallicano Schiavon
Ultimo Porcu
Cristoforo Canova
Cassiano Giuffrida
Stanislao Guerrini
Ivan Ruggieri
Boris Pace
Olindo Braia
Beato Nicastro
Emidio Genovese
Cosimo Conforti
Girolamo Girone
Prisco Siino
Cantidio Meloni
Urdino Giaccio
Manilio Giglio
Bruno Di Lascio
Romero Ferrini
Cristiano Bianc
Cecilio Braia
Quintilio Caccavo
Vodingo Fiore
Tulliano Moccia
Quintino Bacci
Alboino Paolucci
Tulliano Curcio
Severo Favaro
Dario La Manna
Bastiano Pascarella
Icilio Cecchetti
Erardo Baiocco
Dacio Orlando
Orlando Gregori
Crespignano Lorenzini
Icaro Bosco
Arturo Alessi
Albano Carollo
Apollinare Cellini
Vito Giordano
Andrea Boscolo
Plinio Contu
Brando Mattia
Damiano Canale
Vedasto Alaimo
Demostene Campoli
Archippo Azara
Achille Perrini
Amanzio Argenio
Tarcisio D'Onofrio
Gionata Furno
Vezio Argiolas
Piero Berardi
Apollinare Cioni
Gherardo Marega
Ranolfo Guerriero
Cleonico Barillà
Tommaso Indelicato
Norberto Spanò
Esuperio De Biase
Rodrigo Bellini
Paterniano Mancino
Zenebio Cerise
Cristiano Foti
Turibio Paonessa
Filippo Natale
Crescenzio Santoro
Fidenzio Pappalardo
Ranolfo Palazzi
Agesilao Baldini
Nazzareno Zampieri
Antonio Accurso
Nazzareno Fichera
Gianpaolo Geraci
Concetto Memoli
Eufronio Sparacino
Nostriano Sammartano
Neri Castaldo
Aristo Paradiso
Gustavo Formica
Cosimo Doria
Ursicio Nava
Ludano Maggiani
Cosimo Nicosia
Diodoro Giovannetti
Accursio Fedele
Benedetto Puddu
Crespignano Moro
Marco Boni
Cantidio Scarano
Abbondanzio Zullo
Silvano Ciani
Mancio Menconi
Ivano Sodano
Romoaldo Bartolomei
Ataleo Cataldi
Accursio Maltese
Nicodemo Florio
Eginardo Paris
Clemente Artioli
Gioacchino Spagnolo
Servidio De Bonis
Fedro Di Giuseppe
Magno Visintin
Eraldo Di Fiore
Adalfredo Spanò
Calanico Santarelli
Renato Balsamo
Aleardo Sabatino
Metello Pizzo
Aristotele Lisi
Bartolo Mora
Dionigi Maggiani
Ildefonso Minelli
Domezio Troisi
Rocco Prisco
Guiscardo Addis
Odidone Bruschi
Settimio Tagliabue
Ettore Ianni
Ladislao Scalzo
Bertolfo Sammartano
Romano Marian
Amando Nucci
Aiace Ferreri
Cristaldo Cucchiara
Enrico Montemurro
Publio Ricciardi
Euclide Ferrarotti
Felice Marongiu
Soccorso Rosso
Eraldo Ferroni
Dante Girardi
Giotto Bergamasco
Erenia Tumbarello
Festo Paolini
Cecco Capraro
Dante Pili
Teogene Riolo
Salustio Marciano
Severo Capraro
Tizio Mencarelli
Richelmo Pirone
Vito Daidone
Zenobio Barresi
Bonaldo Bani
Ariele Barbagallo
Giosuele Biggi
Rodolfo Masucci
Ursino Corradini
Liberato Bianchetti
Stiriaco Frigerio
Afro Giannotti
Modesto Mariucci
Valfredo Mastroianni
Roberto Repetto
Beniamino Pircher
Evodio Capogna
Gildo Capizzi
Maiorico Amico
Innocenzo Lanteri
Fleano Serpa
Asterio Tomasello
Temistocle Varriale
Mattia Cattaneo
Adalgiso Polizzi
Nicea Romeo
Monaldo Liverani
Antonello Pacifico
Ariele Izzi
Aciscolo Riccio
Cantidio Agnello
Benvenuto D'Ambrosio
Andrea Ragone
Misaele Ciaccio
Marino Luconi
Indro Gaddini
Alcino Caserta
Esaù Del Prete
Grato Menna
Zetico Stefani
Emiliano De Napoli
Ramiro Biggi
Matroniano Tilotta
Ursicio Rotundo
Ursino Magnani
Giordano Buongiorno
Isaia Beso
Asterio Sannino
Calcedonio Cola
Ismaele Ferro
Osmondo Privitera
Silvano Casale
Salomone Sevi
Tiburzio Di Rocco
Ciro Virgilio
Dionisio Peluso
Erberto Sabatini
Danilo Papini
Ivanoe Mascolo
Romualdo Fiori
Enzo Caporaso
Illidio Carbone
Secondo Dominici
Esuperio La Torre
Adeodato Alfieri
Abele Scalia
Edoardo Rotundo
Melchiorre Scardino
Mariano Fratello
Evaldo Mastropietro
Bellino Ciampa
Donatello Rosi
Clinio Biccari
Gautiero Briano
Barsimeo Garofalo
Adeodato Luchini
Sesto Sergi
Priamo De Santis
Anacleto Ippolito
Raide Ciaccio
Dino Costa
Riccardo Pasquini
Gesualdo Egger
Orlando Cardone
Niceto Pompilio
Lauriano Serena
Melchiade Rocco
Cristaldo Paci
Niniano Vallone
Teobaldo Nucera
Antero Altieri
Damocle Quaranta
Algiso Scotti
Galdino Zaccaria
Ercole Di Giovanni
Giordano Gambino
Marino Vianello
Aristarco Simonini
Maccabeo Santangelo
Silvio Campanella
Decimo Pasquini
Elvino Delogu
Evaristo Santoni
Amauri Basso
Valfredo Franchini
Misaele Mereu
Amaranto Mauri
Vezio Buccheri
Elvezio Masia
Calanico Tufo
Zanobi Vierin
Onorio Russo
Battista Morgante
Icaro Di Battista
Alboino Magliocco
Aleardo Boscaino
Dacio Mazzeo
Prudenzio Porcari
Quintiliano Gianni
Aristotele Pasquali
Melanio Munaro
Giambattista Paola
Dionigi Ferilli
Graziano Bassani
Ettore Siragusa
Basileo Salerno
Petronio Orefice
Noè Cacciapuoti
Almiro Cerutti
Neoterio Liuzzi
Pacifico Dalmasso
Graciliano Bacci
Acrisio Zeni
Sostene Barbagallo
Desiderato Patruno
Astianatte Vicinanza
Biagio Garavaglia
Diego Martelli
Bardo Desogus
Bassiano Bonanno
Garimberto Cabras
Eterie Rucco
Azelio Aprile
Italo Gennaro
Respicio Porcu
Macario Pardini
Turibio Bernabei
Sarbello Manetti
Aristo Giovannelli
Leo Rizzi
Aleardo Visani
Sapiente De Angelis
Adalrico Marrone
Fosco Carlucci
Leandro Vacca
Ottone Pizzitola
Garimberto Dalmasso
Paterniano Milan
Alvise Zeni
Baldovino Poletti
Domiziano Salierno
Barsaba Monteleone
Matroniano Narcisi
Antero Calabria
Neoterio Canale
Senofonte Piras
Nicodemo Corradi
Nico Nicastro
Salustio Marconi
Ugolino Todaro
Ulfo Monteleone
Amico Maggi
Bassiano Spadafora
Tiburzio Cannata
Temistocle Litterio
Vasco Mazzarella
Erberto Gatto
Gustavo Luzzi
Privato Tassinari
Averardo Iacono
Bastiano Fanelli
Venusto Ianni
Vezio Micco
Daniele Di Pede
Oreste Pagano
Saladino Coviello
Ulfo Lucarelli
Simeone Gagliardi
Robaldo Mangione
Oscar Argento
Oreste Fornara
Amaranto Celentano
Abbondio Rosa
Vittoriano Silvestrini
Nicodemo Lattanzi
Alfredo Fortunato
Adelardo Siri
Ausilio Nicastro
Gerino Carrus
Grimaldo Giustra
Zaccaria Gulino
Beronico Saladino
Amerigo Andrisani
Cirillo Baldo
Rino Petrone
Vulmaro Niccolai
Iacopone Sabia
Vindonio Congiu
Narciso Quarta
Marzio Di Paolo
Ricario Tortora
Aleramo Menozzi
Aleardo Cruciata
Palladio Perugini
Vindonio Caccavo
Turi Cerrani
Baldomero Geraci
Prudenzio Cecchetti
Menardo Piras
Fulvio Pratesi
Geremia Mattia
Maiorico Agostini
Verecondo Giardini
Zenobio Orlandi
Fausto Patti
Zenaide Gagliano
Michele Calafiore
Costanzo Valle
Fosco Barone
Fernando Semprini
Niniano Giorgetti
Silvestro Di Salvo
Ovidio Oliviero
Corbiniano Zanatta
Nereo Lezzi
Zena Iacovino
Leonardo Allegretti
Gioberto Errante
Federico Morabito
Venusto Baroni
Baldovino Floridia
Aladino Macaluso
Saturniano Perugini
Mennone Montemurro
Dionigi Olivi
Quinziano Lecca
Bindo Moriconi
Agrippa La Rosa
Sarbello Librizzi
Ausilio Sechi
Melchiorre Astolfi
Arrigo Musella
Umberto Piccolo
Ermete Finocchiaro
Doriano Berto
Prisco Villari
Dino Lorenzini
Aiace Montesano
Ansovino Magnani
Gordiano Ierardi
Lauriano Patanè
Gottardo Gazzola
Tarso Nocera
Deodato Belotti
Aleandro Padula
Metello Napoli
Tussio Motisi
Saverio Passero
Quintilio Salvadori
Gildo Gruppuso
Walter Carnevale
Aronne Perugini
Gerino Signorile
Salustio Cirelli
Turibio Madonna
Fazio Palano
Frontiniano Micheletti
Evaldo Lo Cascio
Tulliano Romani
Astianatte Paola
Eleuterio Forlani
Serapione Fucci
Grimaldo Maresca
Virginio Peroni
Adriano Belmonte
Ursmaro Costantin
Domiziano Buonomo
Bruno Carbon
Patroclo Massa
Gesualdo Mura
Cecco De Lucia
Ramiro Di Vita
Bruto Geraci
Ausilio Lamacchia
Piersilvio La Torre
Leandro Dominici
Vitale Di Giorgio
Porfirio Tomei
Fedele Vicini
Crescente Favre
Benito Paola
Tulliano Speranza
Evidio Ross
Arcibaldo Zappalà
Venanzio De Col
Giustiniano Moroni
Porfirio Patanè
Gabriele Zedda
Glauco Vailati
Moreno Cacciapuoti
Odorico Ercoli
Ulberto Cecere
Genesio Ottaviani
Biagio Improta
Barsimeo Mazzarella
Baldomero Soccorsi
Viscardo Ruotolo
Icaro Memoli
Antero Di Girolamo
Decimo Ottonello
Baldo Acquistapace
Secondo Puglisi
Carmine Capponi
Spano Ranieri
Natale Castellano
Valentino Carnevale
Amando Di Carlo
Liberato Puleo
Gaspare Marchesi
Vidone Romano
Abelardo Lelli
Evodio Cappelli
Narsete Tilotta
Luca Amendola
Antioco Platania
Velio Croce
Polifemo Saracino
Pantaleo Boschi
Vittoriano Di Luca
Prospero Bartolucci
Casto Gori
Dodato Staffieri
Mancio Arcangeli
Cristaldo Gazzola
Arrigo Costanza
Ariosto Macchi
Ettore Costanzo
Aldobrando Giraudo
Auberto Pascarella
Alvaro Cozzi
Bruno Giovannelli
Erasmo Perilli
Barsimeo Petrarca
Remondo Gennaro
Gioventino Pozzo
Auro Favero
Alano Denti
Milo Savoca
Tazio Rotundo
Glauco Andreoli
Gianpietro Canino
Beronico Troisi
Aidano Vaccaro
Dino Crippa
Emmerico D'Avino
Colmanno Bonetti
Bassiano Baldi
Ulfo Volpi
Urdino Basso
Pacomio Scardino
Mauro Masucci
Marzio Di Pasquale
Santo Triolo
Ottaviano Ferraris
Gottardo Rollo
Aurelio Borghi
Quintiliano Garavaglia
Furio De Cristofaro
Viliberto Carminati
Ruperto Croce
Pammachio Bellini
Rufino Montanari
Raniero Severi
Bastiano Guarnieri
Barsaba Di Dio
Paciano De Fazio
Vittore Moretti
Iorio Catanzaro
Ciriaco Festa
Dagoberto Caracciolo
Bassiano Marongiu
Fortunato Fortunato
Gregorio Sessa
Giadero Pantano
Aniceto Borgia
Emidio Scala
Bonito Gatta
Gioventino Contu
Alberico Grande
Vilfredo Longhi
Adrione Degano
Narciso Caretti
Amelio Gazzola
Savino Vincenzi
Siricio Chiavacci
Romero Bianco
Alcino Torre
Marolo Macchia
Antelmo Anselmo
Giotto Platania
Aleandro Salemi
Moreno Riva
Barnaba Barbera
Agamennone Telesca
Andrea Mair
Privato Mazzanti
Almiro Angelini
Fortunato Menna
Osvaldo Spina
Massimo Cecchetti
Barsaba Nocerino
Alamanno Quinto
Galileo Passarelli
Quintiliano Cruciani
Gianni Locci
Leo Saladino
Rinaldo Parisi
Stefano Soldati
Matteo Marzano
Famiano Vitali
Laurentino Scaglione
Clarenzio Nappi
Geminiano Fazio
Gildo Coniglio
Cecco Crisafulli
Guido Castellana
Aristide Spiga
Omar Ceccarelli
Colmazio Brogi
Gerolamo Fedele
Salvatore Sannino
Boris Salvadori
Leone Pappalardo
Diogene Ducci
Sebastiano Schettino
Muziano Mazzi
Monaldo Fois
Caino Schettino
Agenore Roberti
Severo Filice
Desiderio Conti
Prisco Sebastiani
Aronne D'Orazio
Giobbe Pilato
Agesilao Montefusco
Leonida Lo Piccolo
Ippocrate Puddu
Simone Bosi
Mattia Pompilio
Ataleo Giovannetti
Aniello Ruggieri
Vulpiano Accurso
Geminiano Monaco
Adelmo Mautone
Ireneo Marchese
Amelio Coppola
Remigio Simula
Iago Petrarca
Giuliano Niccolai
Marco Benvenuto
Walter Peroni
Graciliano Colonna
Abibo Cristiano
Ezechiele Prisco
Fortunato Di Nardo
Bonavita Ippolito
Acilio Poggio
Telchide Serr
Cipriano Aceto
Aquilino Di Benedetto
Calogero Gabriele
Abelardo Strano
Beltramo Marchesini
Bellino Silvestri
Bonaventura Torrisi
Urdino Salvati
Patroclo Romeo
Ortensio Parisi
Ambrosiano Gigliotti
Serapione Massimi
Duccio Sarti
Vulpiano Tiozzo
Marco Cortesi
Enecone Pompilio
Damaso Tolomeo
Ciro Vita
Doriano Bani
Arnaldo Bassi
Alberico D'Ambrosio
Garimberto Motisi
Amico Giglio
Manetto Volpi
Ruperto Alcamo
Guerrino Renzi
Agenore Giacomelli
Giordano Rossini
Tommaso Peruzzi
Ivano Gregori
Guelfo Paone
Privato Di Carlo
Quasimodo Colucci
Cremenzio Casale
Cantidio Perri
Sinfronio De Rossi
Dione Accardi
Nicola Diana
Simeone Vizziello
Antimo Scardino
Eutalio Galli
Enrico Ingrosso
Nazario Ortolani
Ponziano Villari
Almiro Pedrazzini
Zaccheo Pasquini
Filiberto Mariani
Cipriano Stefani
Ermanno Damico
Bino Cerri
Bartolo Schirru
Romeo Caputo
Barbarigo Giorgetti
Adrione Elia
Lautone Apicella
Adelgardo La Rocca
Onofrio Meli
Taziano Marinelli
Pammachio Cocco
Innocenzo Evangelista
Protasio Saladino
Ezio Pezzi
Calanico Iacovone
Ponziano Castaldo
Gregorio Lo Presti
Nestore Fedele
Misaele Pacini
Cristiano De Simone
Rodrigo Colucci
Roberto La Rosa
Basileo Litterio
Edilberto Fonti
Goffredo Saladino
Fabiano Affinito
Livio Sucera
Loreno Sorbello
Ranolfo Lombardo
Ansaldo Valentini
Richelmo Micco
Lautone Valsecchi
Guiberto Murru
Vilfredo Filippi
Argimiro Vierin
Romano Liguori
Romeo Prete
Elogio Malaspina
Giusto Scrofani
Abibo Mariotti
Assunto Perilli
Adelardo Catalano
Basileo Martinelli
Alboino Calì
Livino Simoni
Corrado Principato
Iacopo Pallotta
Saffo Messana
Emiliano Patriarca
Aratone Testa
Sabato Piana
Virone Panzeri
Canziano Cirillo
Laurentino Bini
Neoterio De Maio
Arminio Nocentini
Polifemo Battista
Frontiniano Chiacchio
Laurentino Lisi
Basileo Cenni
Zenebio Fantozzi
Gustavo Di Natale
Iago Pizzuti
Brando Calligaris
Pusicio Calabria
Amauri Chessa
Biagio Schillaci
Sergio Maurizi
Abdone Marziali
Fausto Carosi
Turi Ammoscato
Generoso Bressan
Arturo Di Carlo
Bartolomeo Cattani
Parmenio Franchi
Paride Evola
Ermanno Sartori
Eliseo Santilli
Alvise Agnello
Apollinare Di Paola
Eliseo Signorile
Evasio Demurtas
Proteo Merola
Porfirio Valletta
Claudio Maragno
Adriano Montanaro
Dalmazio De Col
Ivanoe Morri
Pupolo Padovan
Andrea Luca
Decimo Raffa
Vittoriano Ferilli
Gerardo Montanaro
Renato Canepa
Acilio Gangemi
Odorico Paolino
Aimone Bodini
Tristano Marotta
Polidoro Nicosia
Attila Preziosi
Aureliano Casagrande
Fazio Agresta
Gallicano Cardia
Bino Liberati
Geronzio Bionaz
Petronio Lipari
Vodingo Borelli
Edmondo Frezza
Amico De Candido
Aristarco Buonomo
Niceto Zampieri
Santo Perilli
Luciano Pierro
Fleano Correale
Lamberto Cont
Pompeo Marian
Romolo Piras
Cino Tassone
Orazio Santangelo
Iago Bergamini
Sinesio Fava
Gandolfo Cianci
Doroteo Tassone
Famiano Pezzi
Ariele Bosi
Semplicio Dalmasso
